Nome da Competição,Total de Links de Temporada Encontrados,Links Processados (Etapa 2),Links Sem Partidas (Etapa 2),Total de Partidas Coletadas (Etapa 2),Partidas com Estatísticas (Etapa 3),Partidas Sem Estatísticas (Etapa 3)
USL League One,0,0,0,0,0,0
USSF Division 2 Professional League,0,0,0,0,0,0
Ukrainian Premier League,0,0,0,0,0,0
Uruguayan Primera División,0,0,0,0,0,0
Veikkausliiga,0,0,0,0,0,0
Venezuelan Primera División,0,0,0,0,0,0
Women Empowerment League,0,0,0,0,0,0
Women's Professional Soccer,0,0,0,0,0,0
Women's United Soccer Association,0,0,0,0,0,0
World Cup,24,112,0,112,0,0
ÖFB Frauen-Bundesliga,0,0,0,0,0,0
